Employer,Employer Industry,Description,Job Types,School Years,opt/cpt,sponsor
Barclays,Financial Services,"Barclays is an international financial services provider engaged in personal, corporate and investment banking, credit cards and wealth management with an extensive presence in Europe, the Americas, Africa and Asia. Barclays’ purpose is to help people achieve their ambitions – in the right way. With 325 years of history and expertise in banking, Barclays operates in over 50 countries and employs over 130,000 people.","Internship, Job","Masters of Business Administration, Masters, Senior, Junior",Yes,Yes
Flow Traders,Financial Services,"Flow Traders is a leading global technology-enabled liquidity provider historically specializing in exchange traded products. We continuously provide liquidity in the market, without having any directional opinion. All of our platforms are built in-house, uniquely positioning us as a tech-driven company operating in the financial space. As leading liquidity providers in financial products we create more efficient markets for everyone. We value creative, out-of-the-box thinkers and challenge them to utilize their strengths to reach success. To ensure this, we provide our employees with an exciting working environment and continuous support. Having grown our people and products since our founding In 2009 and IPO in 2015, the sky is the limit!","Internship, Job","Senior, Junior, Sophomore",Yes,Yes
"Gelfand, Rennert & Feldman, LLC",Financial Services,"Founded in 1967, Gelfand, Rennert & Feldman (""GRF"") is a leading full-service business management firm for entertainers, executives and select high net worth individuals. Our 30 partners and over 650 staff members deliver comprehensive financial services in the fields of music, motion pictures, television, sports, literature and other creative and performing arts. GRF is committed to providing clients with complete and accurate financial reporting. 

We have 10 offices in the Los Angeles, Nashville, New York, Boston, San Rafael, Wilmington, and London areas. We are hiring Staff Tax Accountants, Royalty Analysts, Full-Charge Bookkeepers, Administrative Assistants, HR/Operations/Marketing and Interns (hybrid or in-office arrangement).",,,No,No
Genesis Merchant Services,Financial Services,"Genesis Merchant Services is a small brokerage firm located adjacent to the Baldwin LIRR station in Baldwin, NY (Long Island). Our ongoing mission is to be the most professional, creative, and helpful private finance firm around. 
We use a database to contact over 150,000 small business owners across the U.S and Canada to secure the capital they need. Our team is responsible for examining the creditworthiness of these clients by reviewing financial history and bank statements. 

We are looking for business majors to gain experience in Sales, Marketing, or Finance! 
","Graduate School, Internship, Job","Alumni, Second Year Community / Technical College, First Year Community / Technical College, Masters of Business Administration, Masters, Senior, Junior, Sophomore, Freshman",No,No
Interactive Brokers,Financial Services,"Interactive Brokers (""IBKR"") is one of the global and largest online brokers by trade volume and is consistently ranked at the top of its field. IBKR’s premier technology provides electronic access to stocks, options, futures, forex, bonds, and funds worldwide from a single IBKR Integrated Investment account.

Develop a real-world understanding of financial markets with the IBKR Student Trading Lab simulator www.ibkr.com/stl and learn more about trading with the IBKR Campus www.ibkr.com/campus.

Our headquarters are in Greenwich, CT. 

Click for short video from current Interactive Brokers employees to learn more about our company: https://www.interactivebrokers.com/en/index.php?f=31899",Internship,"Alumni, Doctorate, Masters, Senior",No,No
KBRA,Financial Services,"KBRA is a global full-service rating agency on a mission to set a standard of excellence and integrity. Established in 2010 as a challenger brand, KBRA remains dedicated to the restoration of trust in credit ratings. We accomplish this through the creation of new standards for assessing risk and by offering accurate and transparent ratings. KBRA provides market participants with an alternative solution through our timely and in-depth research across various sectors. Since the company was founded, we have published over 40,000 ratings. KBRA has over 500 employees located across the United States (in New York, Pennsylvania and Maryland) and in Dublin, Ireland and London, England.","Internship, Job",,Yes,Yes
LSEG (London Stock Exchange Group),Financial Services,"LSEG (London Stock Exchange Group) is more than a diversified global financial markets infrastructure and data business.  

We are drivers of innovation and growth across global markets. We make real change possible by driving financial stability, empowering economies, and enabling customers. 
On average, every minute, we update 480 million financial records, we deliver 147 million market messages, and we process 208,000 trades for major financial institutions around the world. 

 We offer a wide range of opportunities for ambitious students and graduates to start a dynamic and rewarding career in global financial markets. ","Internship, Job",,No,No
MarketAxess,Financial Services,"MarketAxess is on a journey to digitally transform one of the world's largest financial markets, enabling the shift from analog, phone-based trading to a fully electronic marketplace. Why does this matter? Because our platform makes trading fixed-income more accessible, ultimately improving transparency, efficiency and competition in the marketplace. Changing the way an established industry transacts is no easy feat. There will be twists and turns because no one’s ever done this before. But now, more than 2,000 clients around the world rely on our solutions, and that number is only expected to grow in the years ahead. We know where we’re going. How we get there is up to us.",Internship,"Masters, Junior",No,No
"PitchBook Data, Inc.",Financial Services,"At PitchBook, we provide transparency into the capital markets by organizing the world’s meaningful business information and making it useful to our customers. We work tirelessly to arm global professionals with comprehensive data on the entire venture capital, private equity and M&A landscape—including companies, investors, funds, investments, exits and people—so they can discover and execute opportunities with confidence. Our data and analysis are available through our award-winning flagship product, the PitchBook Platform, as well as our powerful suite of integrated tools, industry news and in-depth reports.","Internship, Job","Masters of Business Administration, Masters, Senior, Junior",No,No
Santander US,Financial Services,"Santander US is a diversified financial business with a retail and commercial banking presence in the U.S. northeast, international investment banking capabilities through our New York and Miami offices, and a national auto finance presence through our Santander Consumer entity based in Dallas, TX. 

As an international company with a global headquarters in Madrid, Spain, Santander Group’s more than 200,000 employees share the same purpose: to help people and businesses prosper, including our more than 157 million global customers. We do this through our best-in-class financial products and services and a strong commitment to the people and communities we serve. 
",Internship,"Masters of Business Administration, Masters, Junior, Sophomore",Yes,Yes
StoneX Group Inc.,Financial Services,"StoneX is an institutional-grade financial services network that connects world-leading companies, organizations, and investors to global markets with ease. Our commitment to investing in state-of-the-art digital platforms, end-to-end clearing and execution services, and top talent has been the cornerstone of our success.

Our diverse global workforce spans six continents in nearly 80 offices, providing a high-touch service to over 50,000 commercial and 370,000 retail clients across more than 140 countries. 

As a result of continued growth, we are looking for more talented individuals to join our team. If you strive for excellence and are looking to challenge yourself, StoneX is the right place for you.
","Internship, Job","Senior, Junior",No,No
American Express,Commercial Banking & Credit,"You Lead the Way. We’ve Got Your Back. With the right backing, people and businesses have the power to progress in incredible ways. When you join Team Amex, you become part of a global and diverse community of colleagues with an unwavering commitment to back our customers, communities and each other. Here, you’ll learn and grow as we help you create a career journey that’s unique and meaningful to you with benefits, programs, and flexibility that support you personally and professionally.",Internship,"Masters of Business Administration, Masters, Junior, Sophomore",No,No
Bank of China,Commercial Banking & Credit,,"Internship, Job","Alumni, Postdoctoral Studies, Doctorate, Masters of Business Administration, Masters, Senior, Junior, Sophomore, Freshman",No,No
PNC Financial Services,Commercial Banking & Credit,"For more than 160 years, we have been committed to supporting our customers, communities, employees and shareholders. At PNC, we are proud of our longstanding history of building strong communities that create financial opportunities for individuals, families and businesses.  

The commitment to creating a differentiated experience for our customers is driven by our commitment to doing the same for our employees.  That means providing employees with the opportunities to make an impact, develop and grow, and be part of an inclusive culture where everyone is valued.  It’s how we make sure that we have the right people, in the right roles, doing their best work for our customers.  ","Internship, Job","Senior, Junior",No,No
"Sumitomo Mitsui Trust Bank, Limited",Commercial Banking & Credit,"Sumitomo Mitsui Trust Bank, Limited (SuMi TRUST) is Japan’s largest trust bank, with AUM of more than $800 Billion USD. SuMi TRUST provides an assortment of financial solutions and manages a broad spectrum of financial products across its global branches. The SuMi TRUST NY Branch manages a $35 Billion USD portfolio of corporate debt investments in the United States, with an emphasis on stable income generation, with decades of proven business success. Our areas of expertise include leveraged loans, CLOs, middle-markets, corporate bonds and project financing. SuMi TRUST continues to strive towards excellence and future growth with dedication to our employees and customers.","Internship, Job","Alumni, Doctorate, Masters of Business Administration, Masters, Senior, Junior",No,No
BNP Paribas,Investment Banking,"BNP Paribas is a leading bank in Europe with an international reach across the US, EMEA and APAC. The Bank offers a comprehensive range of banking, investment and financial services solutions through two core businesses: Corporate & Institutional Banking and Retail Banking and Services (comprised of Domestic Markets and International Financial Services).
We employ nearly 6,000 people and have a presence in the country since the late 1800s in major cities including New York, Jersey City, Chesterbrook, PA, San Francisco, Boston, Chicago, Denver, and Washington, DC.  
We take pride in our expertise and our ability to adapt while constantly looking ahead to create a more sustainable world.","Internship, Job","Junior, Sophomore",No,No
JPMorgan Chase & Co.,Investment Banking,"JPMorgan Chase & Co. (NYSE: JPM) is a leading financial services firm based in the United States of America (“U.S.”), with operations worldwide. JPMorgan Chase had $3.7 trillion in assets and $292 billion in stockholders’ equity as of December 31, 2022. The Firm is a leader in investment banking, financial services for consumers and small businesses, commercial banking, financial transaction processing and asset management.",Internship,"Junior, Sophomore",No,No
